id,name,description,parent_id
44,"Verletzung der Schweigepflicht","Ihr Anwalt hat vertrauliche Informationen ohne Ihre Zustimmung weitergegeben, was zu einem Vertrauensbruch und möglichen Schäden geführt hat. Sie könnten Anspruch auf Schadensersatz haben, wenn durch diese Handlung Ihre Interessen beeinträchtigt wurden.",1
45,"Unzureichende Vertretung","Sie fühlen, dass Ihr Anwalt Sie vor Gericht oder in Verhandlungen nicht angemessen vertreten hat, was zu einem nachteiligen Ausgang führte. Möglicherweise besteht ein Anspruch auf Schadenersatz, wenn die Vertretung nicht dem Standard professioneller Rechtsanwälte entsprach.",1
46,Interessenkonflikt,"Ihr Anwalt hat Sie in einer Angelegenheit vertreten, in der er gleichzeitig auch die Interessen der Gegenseite oder eines anderen Klienten mit gegensätzlichen Zielen verfolgt hat. Ein solcher Interessenkonflikt kann die Unparteilichkeit beeinträchtigen und Schadensersatzansprüche begründen.",1
47,"Überhöhte Gebühren","Ihr Anwalt hat Ihnen Gebühren in Rechnung gestellt, die über das gesetzlich zulässige Maß oder die vereinbarte Vergütung hinausgehen. Wenn Sie zu viel bezahlt haben, können Sie die Rückerstattung der überhöhten Beträge fordern.",1
48,"Verzug bei der Fallbearbeitung","Ihr Anwalt hat die Bearbeitung Ihres Falles unnötig verzögert, wodurch Ihnen Fristen oder rechtliche Möglichkeiten verloren gegangen sind. Solche Verzögerungen können zu finanziellen Einbußen führen, für die der Anwalt haftbar gemacht werden kann.",1
49,"Mangelnde Aufklärung","Ihr Anwalt hat Sie nicht ausreichend über die Risikos, Erfolgsaussichten oder Kosten eines rechtlichen Vorgehens aufgeklärt. Eine mangelhafte Aufklärung kann dazu führen, dass Sie Entscheidungen treffen, die Ihnen schaden, was Schadensersatzansprüche rechtfertigen kann.",1
50,"Verlust von Beweismitteln","Ihr Anwalt hat Beweismittel, die für Ihren Fall entscheidend waren, verloren oder nicht rechtzeitig gesichert. Der Verlust von Beweisen kann den Ausgang eines Verfahrens negativ beeinflussen und somit einen Haftungsfall darstellen.",1
51,"Anwaltshaftung (Allgemeine Beratung)","Sie haben allgemeine Fragen zur Haftung von Rechtsanwälten oder benötigen Unterstützung bei der Prüfung von möglichen Fehlern in Ihrer rechtlichen Vertretung. Wir beraten Sie umfassend zu Ihren Rechten und den nächsten Schritten in Ihrem individuellen Fall.",1
52,"Mangelhafte Bauausführung","Wenn das Bauprojekt nicht gemäß den genehmigten Plänen oder den anerkannten Regeln der Technik umgesetzt wurde, können Mängelansprüche gegenüber dem Architekten oder den Baufirmen bestehen.",2
53,"Überschreitung der Baukosten","Architekten sind verpflichtet, die Baukosten im Rahmen der vereinbarten Grenzen zu halten. Eine unverhältnismäßige Kostenüberschreitung kann zu Haftungsansprüchen führen, wenn der Architekt seine Aufklärungspflichten verletzt hat.",2
54,Planungsfehler,"Fehler in der Entwurfs- oder Ausführungsplanung können schwerwiegende Folgen für die Statik, Funktionalität oder Ästhetik eines Gebäudes haben und begründen oft Schadensersatzansprüche gegen den Planer.",2
55,"Ablehnung Asylantrag","Wenn Ihr Asylantrag abgelehnt wurde, stehen Sie vor einer rechtlichen Herausforderung. Sie haben das Recht, gegen diese Entscheidung Widerspruch einzulegen. Ein Anwalt kann Sie durch den Prozess führen und Ihre Chancen auf Erfolg bewerten.",3
56,"Widerruf des Schutzstatus","Ihr Schutzstatus als Asylberechtigter könnte widerrufen werden. Dies geschieht oft nach Änderungen Ihrer persönlichen Umstände oder der Lage in Ihrem Herkunftsland. Juristische Beratung ist essentiell, um Ihre Rechte zu wahren.",3
57,"Bauvertrag Mängel festgestellt","Sie haben einen Bauvertrag abgeschlossen und nun Mängel am Bauwerk festgestellt. Es ist wichtig, diese rechtzeitig zu melden und zu klären, ob Nachbesserungen oder Schadensersatzansprüche geltend gemacht werden können.",4
58,"Baugenehmigung Ablehnung erhalten","Ihre Baugenehmigung wurde abgelehnt, und Sie verstehen die Gründe nicht oder halten sie für ungerechtfertigt. In diesem Fall können Sie Widerspruch einlegen oder die Entscheidung gerichtlich überprüfen lassen.",4
59,"Unzulässige Kontogebühren","Banken erheben oft Gebühren, die durch die Rechtsprechung (z. B. BGH-Urteile) für unzulässig erklärt wurden. Sie können diese zu Unrecht gezahlten Beträge zurückfordern.",5
60,Disziplinarverfahren,"Ein Disziplinarverfahren gegen einen Beamten kann schwerwiegende Folgen für die Karriere und die Altersversorgung haben. Wir unterstützen Sie bei der Abwehr von Vorwürfen und der Wahrung Ihrer Rechte im Verfahren.",6
61,Versetzungswiderspruch,"Gegen eine ungewollte Versetzung oder Abordnung können Beamte Widerspruch einlegen. Wir prüfen die Rechtmäßigkeit der Maßnahme und helfen Ihnen, Ihre Interessen gegenüber dem Dienstherrn zu vertreten.",6
62,Ruhestandsversetzung,"Fragen zur vorzeitigen Versetzung in den Ruhestand, sei es wegen Dienstunfähigkeit oder auf Antrag, erfordern eine genaue Prüfung der versorgungsrechtlichen Konsequenzen.",6
63,"Leistungsbewertung Anfechten","Eine ungerechte dienstliche Beurteilung kann das berufliche Fortkommen behindern. Sie haben das Recht, eine Korrektur oder die Entfernung der Bewertung aus der Personalakte zu verlangen.",6
64,Beihilfeansprüche,"Streitigkeiten über die Übernahme von Krankheitskosten durch die Beihilfe sind häufig. Wir unterstützen Sie bei der Durchsetzung Ihrer Ansprüche gegenüber der Beihilfestelle.",6
65,"Dienstunfähigkeit Feststellung","Die Feststellung der Dienstunfähigkeit ist ein komplexer Prozess, der oft medizinische Gutachten erfordert. Wir begleiten Sie rechtlich, um eine faire Beurteilung sicherzustellen.",6
66,"Beförderungsauswahl Widerspruch","Wenn Sie bei einer Beförderung übergangen wurden, können Sie die Auswahlentscheidung im Wege des Konkurrentenrechtsschutzes überprüfen lassen.",6
67,"Dienstzeugnis Korrektur","Auch Beamte haben Anspruch auf ein faires und wohlwollendes Dienstzeugnis. Bei Unstimmigkeiten über den Inhalt helfen wir Ihnen bei der Durchsetzung von Korrekturen.",6
68,"Mobbing am Arbeitsplatz","Beamte, die von Mobbing durch Vorgesetzte oder Kollegen betroffen sind, können Schutzmaßnahmen des Dienstherrn einfordern oder Schadensersatzansprüche prüfen.",6
69,"Nebentätigkeit Genehmigung","Die Ausübung einer Nebentätigkeit muss oft genehmigt werden. Wir beraten Sie zu den Voraussetzungen und helfen bei der Durchsetzung Ihres Anspruchs auf Genehmigung.",6
70,"Beamtenrecht (Allgemeine Beratung)","Wir beraten Beamte und Anwärter in allen Fragen des öffentlichen Dienstrechts, von der Ernennung über die Besoldung bis hin zur Versorgung.",6
71,"Antrag auf Schwerbehinderung","Die Feststellung eines Grades der Behinderung (GdB) ist die Basis for viele Nachteilsausgleiche. Wir unterstützen Sie bei der Antragstellung und im Widerspruchsverfahren gegen zu niedrige Einstufungen.",7
72,"Ablehnung von Leistungen","Werden Ihnen Leistungen zur Teilhabe oder Hilfsmittel von der Krankenkasse oder dem Sozialamt verweigert? Wir helfen Ihnen, Ihre gesetzlichen Ansprüche durchzusetzen.",7
73,"Probleme am Arbeitsplatz","Menschen mit Behinderung genießen besonderen Kündigungsschutz und haben Anspruch auf eine behindertengerechte Gestaltung des Arbeitsplatzes. Wir verteidigen Ihre Rechte gegenüber dem Arbeitgeber.",7
74,"Zugang zu Bildungseinrichtungen","Inklusion in Schule und Studium ist ein gesetzliches Recht. Wir unterstützen Sie dabei, die notwendigen Fördermaßnahmen und Barrierefreiheit in Bildungseinrichtungen zu sichern.",7
75,Wohnraumanpassung,"Für den barrierefreien Umbau der Wohnung gibt es oft Zuschüsse. Wir beraten Sie zu Förderprogrammen und helfen bei Streitigkeiten mit Vermietern oder Kostenträgern.",7
76,Sozialleistungsansprüche,"Fragen zu Erwerbsminderungsrente, Grundsicherung oder Blindengeld erfordern oft juristischen Rat, um die komplexen Voraussetzungen der Sozialgesetzbücher zu erfüllen.",7
77,"Diskriminierung im Alltag","Das Allgemeine Gleichbehandlungsgesetz (AGG) schützt vor Benachteiligung wegen einer Behinderung. Wir helfen Ihnen, sich gegen Diskriminierung zu wehren und Entschädigungen zu fordern.",7
78,"Nachteilsausgleich in der Schule","Schüler mit Behinderung haben Anspruch auf individuelle Unterstützung, wie z. B. Zeitverlängerung bei Prüfungen. Wir setzen diese Rechte gegenüber der Schulleitung durch.",7
79,"Beantragung von Pflegegrad","Die Einstufung in einen Pflegegrad durch den MDK ist oft fehlerhaft. Wir unterstützen Sie im Widerspruchsverfahren, um die Ihnen zustehenden Pflegeleistungen zu erhalten.",7
80,Kündigungsschutz,"Der besondere Kündigungsschutz für Schwerbehinderte erfordert die Zustimmung des Integrationsamtes. Wir prüfen, ob eine Kündigung unter diesen Voraussetzungen wirksam ist.",7
81,"Zugang zu sozialen Diensten","Wir unterstützen Sie bei der Beantragung und Durchsetzung von Assistenzleistungen oder anderen sozialen Diensten, die Ihre selbstbestimmte Lebensführung ermöglichen.",7
82,"Barrierefreiheit im öffentlichen Raum","Behörden und öffentliche Einrichtungen müssen barrierefrei zugänglich sein. Wir beraten Sie zu Ihren Rechten auf gleichberechtigte Teilhabe am öffentlichen Leben.",7
83,"Behindertenrecht (Allgemeine Beratung)","Umfassende juristische Begleitung für Menschen mit Behinderung und deren Angehörige in allen Lebensbereichen, in denen rechtliche Unterstützung benötigt wird.",7
84,"Besitz von Betäubungsmitteln","Schon der Besitz geringer Mengen Drogen kann ein Strafverfahren nach sich ziehen. Ein erfahrener Anwalt prüft Möglichkeiten zur Verfahrenseinstellung oder Strafmilderung.",8
85,"Handel mit Betäubungsmitteln","Der Vorwurf des Drogenhandels wiegt schwer und kann hohe Freiheitsstrafen zur Folge haben. Eine effektive Verteidigungsstrategie ist hier unerlässlich.",8
86,"Anbau von Cannabis","Trotz Teil-Legalisierung gibt es beim Anbau von Cannabis strenge Regeln. Verstöße gegen Mengenbeschränkungen oder Sicherheitsvorgaben können weiterhin strafbar sein.",8
87,"Fahren unter Drogeneinfluss","Drogen am Steuer führen oft zum Entzug der Fahrerlaubnis und zur Anordnung einer MPU. Wir beraten Sie zur Verteidigung gegen Bußgelder und zum Erhalt Ihres Führerscheins.",8
88,"Drogenkonsum am Arbeitsplatz","Konsum am Arbeitsplatz kann eine fristlose Kündigung rechtfertigen. Wir prüfen die arbeitsrechtliche Zulässigkeit von Maßnahmen und verteidigen Ihre Interessen.",8
89,"Import von Betäubungsmitteln","Die Einfuhr von Drogen aus dem Ausland wird oft als bandenmäßiger Handel gewertet. Hier drohen besonders harte Strafen, die eine spezialisierte Verteidigung erfordern.",8
90,"Drogenkonsum bei Minderjährigen","Bei Verstößen von Jugendlichen steht der Erziehungsgedanke im Vordergrund. Wir setzen uns für Lösungen ein, die die berufliche Zukunft des Betroffenen nicht gefährden.",8
91,"Verschreibungspflichtige Medikamente","Auch der Missbrauch oder illegale Handel mit Medikamenten fällt unter das BtMG. Wir klären die rechtliche Lage und verteidigen Sie gegen entsprechende Vorwürfe.",8
92,"Verdacht auf Drogenproduktion","Schon die Vorbereitung der Herstellung von Drogen ist strafbar. Wir prüfen die Beweislast und stellen sicher, dass Ihre Beschuldigtenrechte gewahrt bleiben.",8
93,"Betäubungsmittelstrafrecht (Allgemeine Beratung)","Professionelle Hilfe in allen Phasen eines Betäubungsmittelverfahrens, von der Durchsuchung über die Vernehmung bis hin zur Hauptverhandlung.",8
94,Geschwindigkeitsüberschreitung,"Blitzerfotos sind oft fehlerhaft oder Messgeräte nicht korrekt geeicht. Wir prüfen Ihren Bußgeldbescheid auf Fehler, um Fahrverbote und Punkte in Flensburg abzuwenden.",9
95,Rotlichtverstoß,"Ein Rotlichtverstoß kann teuer werden und den Führerschein kosten. Wir prüfen, ob die Gelbphase zu kurz war oder andere Entlastungsgründe vorliegen.",9
96,"Alkohol am Steuer","Bei Fahrten unter Alkoholeinfluss drohen empfindliche Strafen. Wir beraten Sie zur Verteidigung im Ordnungswidrigkeiten- oder Strafverfahren und zur MPU-Prävention.",9
97,"Handy am Steuer","Schon das bloße Halten eines Mobiltelefons kann ein Bußgeld nach sich ziehen. Wir klären, ob in Ihrem Fall eine Ausnahme vorliegt oder der Vorwurf unbegründet ist.",9
98,Fahrerflucht,"Das unerlaubte Entfernen vom Unfallort ist kein Kavaliersdelikt. Wir unterstützen Sie dabei, die rechtlichen Folgen zu minimieren und Ihren Führerschein zu schützen.",9
99,"Unzulässige Fahrzeugmodifikation","Tuning ohne Eintragung kann zum Erlöschen der Betriebserlaubnis führen. Wir beraten Sie bei Bußgeldern wegen technischer Veränderungen an Ihrem Fahrzeug.",9
100,Abstandsmessung,"Abstandsverstöße auf der Autobahn werden oft durch Videoaufzeichnungen belegt. Wir prüfen die Messmethode und die Identifizierbarkeit des Fahrers.",9
101,Falschparken,"Knöllchen und Abschleppkosten sind ärgerlich. Wir prüfen die Rechtmäßigkeit von Parkverboten und helfen Ihnen bei der Abwehr unberechtigter Abschleppgebühren.",9
102,"Überladung des Fahrzeugs","Besonders bei Transporten kann es schnell zur Überladung kommen. Wir beraten Sie zu den rechtlichen Folgen und möglichen Einspruchsmöglichkeiten gegen Bußgelder.",9
103,"Missachtung von Verkehrszeichen","Ob Vorfahrt missachtet oder Stoppschild übersehen – wir prüfen die Umstände des Verstoßes und setzen uns für eine Reduzierung der Sanktionen ein.",9
104,"Bußgeldbescheid erhalten","Haben Sie einen Bußgeldbescheid erhalten? Wir prüfen die Fristen und Erfolgsaussichten eines Einspruchs, um Punkte, Bußgelder und Fahrverbote zu vermeiden.",9
105,"Bußgeld (Allgemeine Beratung)","Wir unterstützen Sie in allen Fragen des Verkehrsordnungswidrigkeitenrechts und helfen Ihnen, Ihre Mobilität zu erhalten.",9
106,"Compliance und Haftungsvermeidung","Unternehmen müssen gesetzliche Regeln einhalten, um Haftungsrisiken für die Geschäftsführung zu minimieren. Wir beraten Sie bei der rechtssicheren Organisation Ihres Betriebs.",10
107,"CMS Implementierung","Ein Compliance Management System (CMS) schützt Ihr Unternehmen vor Rechtsverstößen. Wir unterstützen Sie bei der Konzeption und Einführung maßgeschneiderter Kontrollsysteme.",10
108,"Einhaltung des NIS2","Die neue NIS2-Richtlinie stellt hohe Anforderungen an die Cybersicherheit. Wir helfen Ihnen, die gesetzlichen Vorgaben zum Schutz Ihrer IT-Infrastruktur umzusetzen.",10
109,"StaRUG-Anforderungen befolgen","Das StaRUG verpflichtet Unternehmen zur Früherkennung von Krisen. Wir beraten Sie bei der Implementierung von Systemen zur rechtzeitigen Identifizierung von Insolvenzrisiken.",10
110,LKSG-Konformität,"Das Lieferkettensorgfaltspflichtengesetz (LKSG) fordert soziale und ökologische Standards in der Lieferkette. Wir unterstützen Sie bei der Erfüllung dieser komplexen Nachweispflichten.",10
111,"Aufbau von Compliance-Strukturen","Wir helfen Ihnen bei der Erstellung von Richtlinien (Codes of Conduct) und der Schulung von Mitarbeitern, um eine Integritätskultur in Ihrem Unternehmen zu verankern.",10
112,"Monitoring und Reporting","Regelmäßige Überprüfungen und Berichte sind essenziell für die Wirksamkeit von Compliance-Maßnahmen. Wir beraten Sie bei der Gestaltung effizienter Überwachungsprozesse.",10
113,Abgasskandal,"Millionen Fahrzeuge sind von Manipulationen der Abgasreinigung betroffen. Wir helfen Ihnen, Schadensersatzansprüche gegen die Hersteller durchzusetzen oder das Fahrzeug zurückzugeben.",11
114,"Wohnmobil Abgasskandal","Auch viele Wohnmobile auf Basis von Fiat Ducato oder Mercedes Sprinter sind betroffen. Wir klären Ihre Rechte auf Entschädigung bei manipulierten Freizeitfahrzeugen.",11
115,"Diesel-Fahrverbote umgehen","In vielen Städten drohen Fahrverbote für ältere Diesel. Wir prüfen, ob Sie durch Schadensersatzklagen eine Rückgabe des Fahrzeugs oder eine Hardware-Nachrüstung erreichen können.",11
116,"Testament verfassen","Ein rechtssicheres Testament vermeidet Streit unter den Erben. Wir beraten Sie bei der Gestaltung Ihres letzten Willens, um Ihre Wünsche präzise und wirksam festzulegen.",12
117,"Erbschaft ausschlagen","Wenn ein Nachlass überschuldet ist, sollten Sie das Erbe ausschlagen. Wir beraten Sie zu den wichtigen Fristen und den formalen Anforderungen beim Nachlassgericht.",12
118,"Pflichtteil einfordern","Nahe Angehörige haben oft Anspruch auf einen Pflichtteil, wenn sie im Testament übergangen wurden. Wir helfen Ihnen bei der Berechnung und Durchsetzung Ihres Geldanspruchs.",12
119,"Erbengemeinschaft regeln","Gemeinsames Erben führt oft zu Konflikten. Wir unterstützen Sie bei der Auseinandersetzung der Erbengemeinschaft und der gerechten Verteilung des Nachlasses.",12
120,"Testament anfechten","Bestehen Zweifel an der Testierfähigkeit des Erblassers oder liegen Formfehler vor? Wir prüfen die Voraussetzungen for eine Testamentsanfechtung.",12
121,Nachlassverwaltung,"Die Sicherung und Verwaltung des Erbes kann komplex sein. Wir unterstützen Erben und Testamentsvollstrecker bei der ordnungsgemäßen Abwicklung des Nachlasses.",12
122,"Erbschaftsteuer optimieren","Frühzeitige Schenkungen oder die Nutzung von Freibeträgen können die Steuerlast senken. Wir beraten Sie zur steuerlich vorteilhaften Gestaltung Ihrer Regelungen.",12
123,"Vermächtnis erhalten","Ein Vermächtnis gibt Ihnen Anspruch auf einen bestimmten Gegenstand oder Geldbetrag aus dem Erbe. Wir helfen Ihnen, diesen Anspruch gegenüber den Erben geltend zu machen.",12
124,"Digitales Erbe sichern","Accounts, Kryptowährungen und digitale Daten gehören zum Nachlass. Wir beraten Sie zur Vorsorge und zum Zugriff auf das digitale Erbe im Todesfall.",12
125,Immobilienerbschaft,"Häuser und Wohnungen im Nachlass erfordern oft schnelle Entscheidungen über Nutzung, Verkauf oder Vermietung. Wir klären die erbrechtlichen und grundbuchrechtlichen Fragen.",12
126,"Erbrecht (Allgemeine Beratung)","Umfassende Unterstützung in allen Fragen des Erbrechts, von der Vorsorgevollmacht bis zur gerichtlichen Vertretung in Erbstreitigkeiten.",12
127,"Flugverspätung Entschädigung","Bei einer Flugverspätung von mehr als drei Stunden haben Sie oft Anspruch auf eine Entschädigung von bis zu 600 Euro pro Person, sofern keine außergewöhnlichen Umstände vorliegen.",13
128,Flugausfall,"Wurde Ihr Flug kurzfristig annulliert? Die Airline muss Ihnen eine Ersatzbeförderung anbieten und unter Umständen eine Ausgleichszahlung leisten.",13
129,Nichtbeförderung,"Wenn Ihnen trotz gültigem Ticket der Boarding verweigert wurde (z. B. wegen Überbuchung), steht Ihnen sofortige Unterstützung und eine finanzielle Entschädigung zu.",13
130,Gepäckverlust,"Bei verspätetem, beschädigtem oder verlorenem Gepäck haben Sie Anspruch auf Schadensersatz für notwendige Ersatzkäufe oder den Wertverlust Ihres Eigentums.",13
131,"Änderung der Gesellschafterstruktur","Der Ein- oder Austritt von Gesellschaftern erfordert präzise vertragliche Regelungen und oft notarielle Beurkundungen. Wir beraten Sie bei der rechtssicheren Gestaltung von Anteilsübertragungen.",14
132,Geschäftsführerwechsel,"Die Bestellung oder Abberufung eines Geschäftsführers muss formal korrekt erfolgen und im Handelsregister angemeldet werden. Wir unterstützen Sie bei den notwendigen Beschlüssen und Verträgen.",14
133,Kapitalerhöhung,"Zur Finanzierung von Wachstum oder zur Sanierung kann eine Kapitalerhöhung notwendig sein. Wir beraten Sie zu den verschiedenen Formen und den rechtlichen Anforderungen bei der Umsetzung.",14
134,Unternehmensnachfolge,"Die Übergabe eines Unternehmens an die nächste Generation oder einen externen Käufer erfordert langfristige Planung und Berücksichtigung von gesellschafts- und erbrechtlichen Aspekten.",14
135,"Auseinandersetzung unter Gesellschaftern","Streitigkeiten im Gesellschafterkreis können das Unternehmen lähmen. Wir unterstützen Sie bei der außergerichtlichen Konfliktlösung oder der Durchsetzung Ihrer Rechte in gerichtlichen Verfahren.",14
136,"Umwandlung der Gesellschaftsform","Ob Wechsel von OHG zu GmbH oder Verschmelzung von Unternehmen – wir begleiten Sie bei allen Umwandlungsvorgängen nach dem Umwandlungsgesetz.",14
137,"Liquidation der GmbH","Die Beendigung einer Gesellschaft erfordert ein geregeltes Liquidationsverfahren. Wir beraten Liquidatoren bei der Erfüllung ihrer Pflichten und der ordnungsgemäßen Abwicklung.",14
138,"Schutz von Geschäftsgeheimnissen","Know-how ist das Kapital jedes Unternehmens. Wir unterstützen Sie bei der Erstellung von Vertraulichkeitsvereinbarungen (NDA) und der Durchsetzung von Ansprüchen bei Geheimnisverrat.",14
139,"Compliance und Haftungsvermeidung","Geschäftsführer haften oft persönlich für Verstöße. Wir helfen Ihnen beim Aufbau von Compliance-Strukturen zur Vermeidung von Haftungsrisiken.",14
140,"Gesellschaftsrechtliche Streitigkeiten","Ob Anfechtung von Beschlüssen oder Klagen gegen Geschäftsführer – wir vertreten Ihre Interessen in komplexen gesellschaftsrechtlichen Auseinandersetzungen.",14
141,"Gesellschaftsrecht (Allgemeine Beratung)","Umfassende juristische Unterstützung für Unternehmer und Gesellschaften in allen Phasen, von der Gründung bis zur Abwicklung.",14
142,Urheberrechtsverletzung,"Die unbefugte Nutzung von Texten, Bildern oder Software im Internet kann teure Abmahnungen zur Folge haben. Wir helfen Ihnen bei der Abwehr oder Durchsetzung von Urheberansprüchen.",15
143,Datenschutzverstoß,"Verstöße gegen die DSGVO können zu hohen Bußgeldern führen. Wir beraten Sie zur datenschutzkonformen Gestaltung Ihrer Website und zum Umgang mit Datenpannen.",15
144,"Vertragsbruch Software-Lizenz","Streitigkeiten über den Umfang von Nutzungsrechten an Software sind häufig. Wir prüfen Ihre Lizenzverträge und vertreten Sie bei Vertragsverletzungen.",15
145,"Online-Kauf Betrug","Ware bezahlt, aber nie erhalten? Oder Fake-Shops aufgesessen? Wir unterstützen Sie bei der Rückforderung Ihres Geldes und der Erstattung von Strafanzeigen.",15
146,"Unzulässige AGB","Klauseln in Allgemeinen Geschäftsbedingungen müssen transparent und fair sein. Wir prüfen AGB auf ihre Wirksamkeit und mahnen unzulässige Bestimmungen ab.",15
147,Identitätsdiebstahl,"Wenn Fremde unter Ihrem Namen Bestellungen aufgeben oder Accounts nutzen, müssen Sie schnell handeln. Wir helfen Ihnen bei der Schadensbegrenzung und der Kommunikation mit Betroffenen.",15
148,"Verletzung von Bildrechten","Die Veröffentlichung von Fotos ohne Einwilligung der abgebildeten Personen oder des Urhebers ist rechtswidrig. Wir setzen Ihre Unterlassungs- und Schadensersatzansprüche durch.",15
149,"Unautorisierte Kontozugriffe","Wurde Ihr Online-Banking oder Social-Media-Account gehackt? Wir beraten Sie zur Haftung der Anbieter und unterstützen Sie bei der Wiederherstellung Ihres Zugangs.",15
150,"Verleumdung im Internet","Rufschädigende Kommentare oder Bewertungen können Ihre Existenz bedrohen. Wir fordern die Löschung unzulässiger Inhalte und setzen Schadensersatzansprüche durch.",15
151,"Probleme mit Online-Dienstleistern","Ob Hosting, Cloud-Services oder SaaS – bei Leistungsstörungen oder unberechtigten Kündigungen durch Provider setzen wir Ihre vertraglichen Rechte durch.",15
152,"Ungültige Online-Verträge","Wurde Ihnen am Telefon oder per Klick ein Abo untergeschoben? Wir prüfen die Wirksamkeit des Vertragsschlusses und erklären für Sie den Widerruf oder die Anfechtung.",15
153,"Missbrauch von Markenrechten","Die Nutzung geschützter Marken als Keywords (AdWords) oder in Domains kann Markenrechte verletzen. Wir beraten Sie zur rechtssicheren Nutzung und bei Abmahnungen.",15
154,"IT-Recht (Allgemeine Beratung)","Juristische Begleitung for Internetnutzer und Online-Händler in allen Fragen des digitalen Rechts- und Geschäftsverkehrs.",15
155,"Online Account gesperrt","Wurde Ihr Account bei Amazon, eBay oder Facebook ohne Grund gesperrt? Wir fordern die Freischaltung und prüfen Schadensersatzansprüche wegen entgangener Verkäufe.",15
156,"IT-Ausfall am 19.7.2024 (Crowdstrike)","Der weltweite IT-Ausfall durch ein fehlerhaftes Software-Update hat massive Schäden verursacht. Wir prüfen Ihre Ansprüche auf Schadensersatz gegen verantwortliche Dienstleister.",15
157,"Unberechtigte Forderung","Haben Sie eine Rechnung für Leistungen erhalten, die Sie nie bestellt haben? Wir unterstützen Sie bei der Abwehr dieser unbegründeten Forderungen.",16
158,"Fristsetzung beim Schuldner","Wenn Ihr Vertragspartner nicht zahlt, ist die rechtssichere Inverzugsetzung entscheidend for spätere Verzugsschäden. Wir übernehmen das Mahnwesen für Sie.",16
159,"Unklare Rechnungsposten","Enthält Ihre Rechnung Positionen, die Sie nicht nachvollziehen können? Wir prüfen die Abrechnung auf ihre Übereinstimmung mit dem zugrunde liegenden Vertrag.",16
160,"Inkasso trotz Zahlung","Werden Sie von Inkassobüros kontaktiert, obwohl Sie die Rechnung bereits beglichen haben? Wir stellen die Kommunikation ein und klären das Missverständnis auf.",16
161,"Drohung mit rechtlichen Schritten","Inkassounternehmen drohen oft vorschnell mit Pfändungen oder Gerichtsverfahren. Wir prüfen die Berechtigung dieser Drohungen und schützen Sie vor unzulässigem Druck.",16
162,"Hohe Inkassogebühren","Inkassokosten sind oft überhöht und verstoßen gegen geltendes Recht. Wir prüfen die Gebührenrechnungen und wehren unzulässige Kostenschübe ab.",16
163,"Fehlende Zahlungserinnerungen","Ohne vorherige Mahnung dürfen meist keine Inkassokosten berechnet werden. Wir prüfen, ob Sie wirksam in Verzug gesetzt wurden.",16
164,"Mehrfache Forderungen für dieselbe Schuld","Fordern verschiedene Stellen dasselbe Geld von Ihnen? Wir bringen Klarheit in die Forderungsaufstellung und vermeiden Doppelzahlungen.",16
165,"Unberechtigte Schufa-Eintragung","Inkassounternehmen drohen oft mit Schufa-Einträgen. Ohne rechtskräftigen Titel oder Anerkenntnis ist dies oft unzulässig. Wir fordern die Löschung unberechtigter Daten.",16
166,"Forderung nach Verjährung","Viele Forderungen sind bereits verjährt, werden aber dennoch weiter eingetrieben. Wir prüfen die Verjährungsfristen und erheben die Einrede der Verjährung.",16
